№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
254;"Прайс-лист  ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления Пост ПВК-ОЭАМ2.2-1ПЧ-14-(Л-1БМ-М20)х1-ХЛ1;шт;4;700,87;2803,48;;;79
195;"Прайс-лист  ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления Пост ПВК-ОЭАМ2.2-1ПЧ-14-(Л-1БМ-М20)х1-ХЛ1;комплект;4;700,87;2803,48;;;79
229;"Прайс-лист  ООО ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления ПостПВК-ОЭАМ4.2-1ПЛ-1ПК-14-ExGN25(52)-1 Л(230)-(Л-5-М25)х1-ХЛ1;комплект;8;3465,07;27720,56;;;100
255;"Прайс-лист  ООО ""ТД ""ВЭЛАН""";   - Взрывозащищенный пост управления состоящий ПВК-ОЭАМ4.2-1ПЛ-1ПК-14-ExGN25(52)-1Л(230)-(Л-5-М25)х1-ХЛ1;шт;5;3278,26;16391,3;;;105
236;Прайслист  Завода «Электроконтактор»;   - Вольтметр, шкала 0-500 В   Э365-1;шт;2;119,71;239,42;;;38
23;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - аллюминий сернокислый;комп.;1;62014,49;62014,49;;;121
29;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - гидроксида лития;комп.;1;62014,49;62014,49;;;116
30;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - нитрата натрия;комп.;1;62014,49;62014,49;;;114
49;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Тетрахлорметан;комп.;1;62014,49;62014,49;;;114
31;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - тетрахлорметана;комп.;2;62014,49;124028,98;;;115
50;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Трихлорэтилен;комп.;1;62014,49;62014,49;;;113
